甘肃移动,#genre#
CCTV-1,http://www.biaozhun114.com/dl/dl666/gsyd.php?6247
CCTV-2,http://www.biaozhun114.com/dl/dl666/gsyd.php?6220
CCTV-3,http://www.biaozhun114.com/dl/dl666/gsyd.php?6490
CCTV-4,http://www.biaozhun114.com/dl/dl666/gsyd.php?6539
CCTV-5,http://www.biaozhun114.com/dl/dl666/gsyd.php?6587
CCTV-5+,http://www.biaozhun114.com/dl/dl666/gsyd.php?6253
CCTV-6,http://www.biaozhun114.com/dl/dl666/gsyd.php?6492
CCTV-7,http://www.biaozhun114.com/dl/dl666/gsyd.php?6432
CCTV-8,http://www.biaozhun114.com/dl/dl666/gsyd.php?6589
CCTV-9,http://www.biaozhun114.com/dl/dl666/gsyd.php?6434
CCTV-10,http://www.biaozhun114.com/dl/dl666/gsyd.php?6164
CCTV-11,http://www.biaozhun114.com/dl/dl666/gsyd.php?6541
CCTV-12,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002147/1.m3u8
CCTV-13,http://www.biaozhun114.com/dl/dl666/gsyd.php?6438
CCTV-14,http://www.biaozhun114.com/dl/dl666/gsyd.php?6166
CCTV-15,http://www.biaozhun114.com/dl/dl666/gsyd.php?6616
CCTV-16,http://www.biaozhun114.com/dl/dl666/gsyd.php?6413
CCTV-17,http://www.biaozhun114.com/dl/dl666/gsyd.php?6407
卫视频道,#genre#
凤凰中文,https://0472.org/hls/youzaiSB/fhzw.m3u8
凤凰资讯,https://0472.org/hls/youzaiSB/fhzx.m3u8
凤凰香港,https://0472.org/hls/youzaiSB/fhhk.m3u8
辽宁卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6209
安徽卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6205
江苏卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6157
东方卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6155
广东卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6180
北京卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6161
黑龙江卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6142
浙江卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6144
湖北卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6159
山东卫视,http://www.biaozhun114.com/dl/dl666/gsyd.php?6162
